Date,Open,High,Low,Close,Volume
1/3/2006,82.45,82.55,80.81,82.06,11715200
1/4/2006,82.2,82.5,81.33,81.95,9840600
1/5/2006,81.4,82.9,81,82.5,7213500
1/6/2006,83.95,85.03,83.41,84.95,8197400
1/9/2006,84.1,84.25,83.38,83.73,6858200
1/10/2006,83.15,84.12,83.12,84.07,5701000
1/11/2006,84.37,84.81,83.4,84.17,5776500
1/12/2006,83.82,83.96,83.4,83.57,4926500
1/13/2006,83,83.45,82.5,83.17,6921700
1/17/2006,82.8,83.16,82.54,83,8761700
1/18/2006,84,84.7,83.52,84.46,11032800
1/19/2006,84.14,84.39,83.02,83.09,6484000
1/20/2006,83.04,83.05,81.25,81.36,8614500
1/23/2006,81.33,81.92,80.92,81.41,6114100
1/24/2006,81.39,82.15,80.8,80.85,6069000
1/25/2006,81.05,81.62,80.61,80.91,6374300
1/26/2006,81.5,81.65,80.59,80.72,7810200
1/27/2006,80.75,81.77,80.75,81.02,6103400
1/30/2006,80.21,81.81,80.21,81.63,5325100
1/31/2006,81.5,82,81.17,81.3,6771600
2/1/2006,80.9,82.24,80.65,81.94,5417100
2/2/2006,81.45,81.59,80.9,81.23,6198000
2/3/2006,80.55,80.77,79.72,79.97,9852700
2/6/2006,79.94,79.95,78.93,79.51,9568600
2/7/2006,79.5,80.19,79.3,79.85,5253600
2/8/2006,80.58,80.9,80.24,80.8,5030500
2/9/2006,80.4,80.8,79.5,80.4,7609200
2/10/2006,80.4,81.46,80.2,81.33,5371900
2/13/2006,81.33,81.91,80.18,80.44,5257400
2/14/2006,80.55,81.45,80.35,81.09,6075500
2/15/2006,80.86,81.5,80.5,80.85,5052000
2/16/2006,80.68,80.91,80.13,80.91,5310500
2/17/2006,80.91,81.03,80.13,80.71,5298900
2/21/2006,80.1,80.75,79.97,80.5,5839100
2/22/2006,80,81.65,79.97,81.35,5294300
2/23/2006,81.2,81.34,80.04,80.2,4979900
2/24/2006,80.65,80.65,79.85,80.1,3904100
2/27/2006,79.97,80.89,79.95,80.63,3787200
2/28/2006,80.1,80.55,79.71,80.24,5960700
3/1/2006,80.2,80.81,79.78,79.9,5211600
3/2/2006,79.55,80.21,79.54,79.94,4418800
3/3/2006,79.51,80.83,79.51,79.96,4354400
3/6/2006,79.91,80.64,79.9,80,4709500
3/7/2006,80.01,80.79,79.86,80.29,4330800
3/8/2006,80.25,81.6,80.25,81.14,5570000
3/9/2006,81.26,81.98,80.8,81.02,4310700
3/10/2006,81.03,82.25,81.03,81.57,4787200
3/13/2006,81.56,82.4,81.45,81.93,4571400
3/14/2006,81.51,82.99,81.47,82.88,4532700
3/15/2006,82.65,83.76,82.64,83.38,5370400
3/16/2006,83.43,83.72,82.61,82.87,4299500
3/17/2006,83.35,83.41,82.82,83.3,6414500
3/20/2006,83.11,83.75,82.99,83.58,3870300
3/21/2006,83.82,84.99,83.58,83.81,7404300
3/22/2006,83.35,84.68,83.35,84.45,4968600
3/23/2006,84.23,84.27,82.93,83.2,5105800
3/24/2006,82.99,83.72,82.99,83.36,4198800
3/27/2006,82.98,83.26,82.58,83.08,3910100
3/28/2006,82.86,83.39,82.29,82.43,4508800
3/29/2006,82.2,83.55,82.2,83.13,4633800
3/30/2006,82.88,83.7,82.83,83.2,4467000
3/31/2006,82.95,83.6,82.29,82.47,5862000
4/3/2006,82.72,83.59,82.65,83.06,4121600
4/4/2006,83.05,83.78,82.8,83.45,3856200
4/5/2006,83.33,84.45,83.32,84.17,5523900
4/6/2006,83.7,84.32,83.36,83.81,4944100
4/7/2006,83.6,83.8,82.44,82.48,5338300
4/10/2006,82.27,82.74,82,82.1,3631300
4/11/2006,81.83,82.06,80.75,81.16,5959700
4/12/2006,81.1,81.37,80.63,80.75,3905700
4/13/2006,81.18,82.6,81.12,81.98,4799700
4/17/2006,81.92,82.92,81.4,81.64,4634200
4/18/2006,81.89,83.53,81.7,83.31,7919700
4/19/2006,83.95,84,81.26,81.86,10555200
4/20/2006,81.65,82.85,81.64,82.02,6237200
4/21/2006,82.49,82.5,81.38,81.66,6117400
4/24/2006,81.3,82.41,81.1,82.11,6604100
4/25/2006,81.95,82.9,81.6,82.67,6857400
4/26/2006,82.84,83.48,82.71,83.35,6649000
4/27/2006,82.7,84.4,82.7,83.88,8174300
4/28/2006,83.51,83.62,81.98,82.34,8201800
5/1/2006,82.59,83.31,82.1,82.23,6011400
5/2/2006,82.11,82.74,82,82.42,4337000
5/3/2006,82.54,83.29,82.45,82.7,5721100
5/4/2006,82.87,83.09,82.4,82.43,3966900
5/5/2006,82.95,83.34,82.7,83.28,4504700
5/8/2006,82.6,83.22,82.3,82.89,3913300
5/9/2006,82.49,83.29,82.4,83.23,4072800
5/10/2006,82.9,83.33,82.6,82.9,3430700
5/11/2006,82.65,83.09,82.45,82.46,5274500
5/12/2006,82.47,83.69,82.3,82.39,5685700
5/15/2006,81.8,83.15,81.8,82.89,5778500
5/16/2006,83,83.25,82.07,82.16,4456300
5/17/2006,81.75,82.21,81.02,81.27,5936400
5/18/2006,80.5,81.35,80.03,80.66,5443600
5/19/2006,80.86,81,79.51,80.28,7019100
5/22/2006,79.83,80.34,79.4,80.02,6275900
5/23/2006,80.25,81.3,79.64,79.83,5010300
5/24/2006,79.35,80.04,79.06,79.78,7389600
5/25/2006,79.89,80.18,79.65,80.14,3995200
5/26/2006,80.16,80.86,79.7,80.75,3580800
5/30/2006,80.35,80.96,80.15,80.16,5049100
5/31/2006,80.15,80.83,79.61,79.9,6385200
6/1/2006,79.89,80.87,79.81,80.69,4866500
6/2/2006,80.5,80.56,79.15,79.52,7233300
6/5/2006,79.1,80.04,79.01,79.06,5556000
6/6/2006,79.06,79.9,78.5,79.76,7250900
6/7/2006,79.78,80.74,79.12,79.15,7925300
6/8/2006,78.55,79.58,76.75,77.03,13476600
6/9/2006,77.24,78.1,77.05,77.63,6135400
6/12/2006,77.63,78.09,77.01,77.02,4925000
6/13/2006,77.14,77.93,76.82,76.93,7374200
6/14/2006,76.93,77.85,76.93,77.71,6038600
